name,artist,artist_followers,artist_popularity,song_popularity,album,release_date,genre,danceability,energy,valence,tempo,duration(min)
Sen De Başını Alıp Gitme,Cem Karaca,2.015.501,57,48,Nerde Kalmıştık,21-10-1992,klasik-rock,"0,507","0,712","0,538","124,0",4:35
Geçti Dost Kervanı,Barış Manço,3.052.229,63,30,Estağfurullah Ne Haddimize!,09-04-1983,klasik-rock,"0,434","0,718","0,625","128,0",4:17
Üryan Geldim,Cem Karaca,2.015.501,57,37,Anadolu Efsaneleri,29-12-2013,klasik-rock,"0,493","0,78","0,58","131,0",4:17
Yeni Bir Gün Doğdu Merhaba,Barış Manço,3.052.229,63,43,Sarı Çizmeli Mehmet Ağa,01-01-1993,klasik-rock,"0,438","0,785","0,604","124,0",2:03
Gurbet,Özdemir Erdoğan,247.549,52,60,Yorumcu,01-01-1989,other,"0,601","0,672","0,474","127,0",3:26
Aç Kapıyı Gir İçeri,Özdemir Erdoğan,247.549,52,0,Hayatım Şarkılarda,02-05-2001,other,"0,624","0,655","0,526","127,0",3:56
Hal Hal,Barış Manço,3.052.229,63,38,"Mançoloji, Vol. 1",23-02-1999,klasik-rock,"0,498","0,719","0,614","132,0",3:48
Aya Bak Yıldıza Bak,Tpao Batman Orkestrası,4.578,17,31,Şeker Alalım,01-01-1968,other,"0,655","0,608","0,46","121,0",2:22
Haram Geceler,Cem Kısmet - Pilli Bebek,89.822,50,60,Behzat Ç. (Orijinal Dizi ve Film Müzikleri),05-07-2012,other,"0,615","0,685","0,487","126,0",4:34
Sevmek İstiyorum,Erkut Taçkın,20.692,29,41,En İyileriyle Erkut Taçkın,01-01-1975,other,"0,644","0,617","0,535","125,0",2:51
Mihrimah,Nur Yoldas,19.607,42,42,Sultan-ı Yegah,11-06-1998,other,"0,586","0,733","0,513","127,0",5:03
Ben Kimim,Candan Erçetin,1.324.074,56,53,Kırık Kalpler Durağında,01-01-2009,other,"0,642","0,623","0,465","126,0",4:28
Kader Bağladı Bizi,Handan Kara,17.474,32,30,Kader Bağladı Bizi / Gidip Te Dönmemek Var,02-04-1973,other,"0,597","0,724","0,543","114,0",4:08
Sen Aslı'dan Da Güzelsin,Cumhur,2.603,17,34,Sen Aslı'dan Da Güzelsin,13-04-1981,other,"0,651","0,638","0,458","125,0",2:57
Yalnızlar Rıhtımı,Korkut Koray,1.605,8,20,Yalnızlar Rıhtımı (45'lik),01-01-1969,other,"0,628","0,611","0,505","120,0",3:09
Ankara Rüzgarı,Nesrin Sipahi,26.600,43,41,"Nesrin Sipahi, Vol. 1",30-03-2000,other,"0,62","0,679","0,494","118,0",3:23
Olmalı mı Olmamalı mı,Bülent Ortaçgil,244.690,43,42,Benimle Oynar Mısın,15-04-1993,other,"0,58","0,68","0,537","118,0",2:11
Olacak O Kadar,Gündoğarken,21.585,42,32,Ankara'dan Abim Geldi,03-05-1993,other,"0,621","0,606","0,554","118,0",3:16
Yemyeşil Bir Deniz,İlhan İrem,193.824,46,40,Bezginin Gizli Mektupları,01-01-2000,other,"0,617","0,654","0,468","129,0",5:58
Hasret,Tanju Okan,120.751,44,35,Bir Zamanlar (Best Of),13-08-1999,other,"0,656","0,677","0,56","126,0",3:02
Mazi Kalbimde Yaradir,Esin Engin,31.833,34,39,Tangolar,01-01-1990,other,"0,612","0,645","0,5","126,0",2:55
İstemem,Erkin Koray,811.083,53,25,Mesafeler,01-01-1974,klasik-rock,"0,457","0,721","0,575","128,0",3:23
Helvacı,Mavi Işıklar,95.199,48,38,Mavi Işıklar - Türk Pop Tarihi,01-01-2002,other,"0,66","0,625","0,547","130,0",2:46
Sarıldım Boşluğa,Enes Bozyiğit,422,21,20,Sarıldım Boşluğa,25-08-2023,other,"0,665","0,61","0,506","119,0",3:21
Dere Boyu Kavaklar,Eren Can Maşalacı,124,12,1,Zaman Yolcusu,20-12-2024,other,"0,654","0,646","0,516","114,0",3:08
Beraber Olsak,Enes Bozyiğit,422,21,19,Beraber Olsak,20-06-2023,other,"0,59","0,679","0,486","124,0",2:53
Hekimoğlu,Eren Can Maşalacı,124,12,0,Zaman Yolcusu,20-12-2024,other,"0,616","0,683","0,509","126,0",3:06
Ay Karanlık,Cem Karaca,2.015.501,57,32,Cem Karaca Koleksiyon,01-01-2015,klasik-rock,"0,45","0,836","0,621","124,0",3:05
Çark-ı Felek,Cem Karaca,2.015.501,57,21,Merhaba Gençler,01-01-1987,klasik-rock,"0,431","0,767","0,558","126,0",4:08
Çaya Kaç Şeker,Moğollar,229.734,38,34,Umut Yolunu Bulur,25-11-2009,other,"0,654","0,723","0,564","114,0",4:22
Gündüzüm Seninle,Ferdi Özbeğen,274.779,61,62,Bir Sır Gibi,01-01-1986,other,"0,636","0,719","0,537","116,0",4:03
Bir Gülü Sevdim,Ferdi Özbeğen,274.779,61,60,Piyanist,01-01-1986,other,"0,623","0,633","0,509","115,0",4:09
Büklüm Büklüm,Ferdi Özbeğen,274.779,61,55,Mutluluklar,09-07-1980,other,"0,67","0,7","0,461","129,0",6:00
Affetmem Asla Seni,Ferdi Özbeğen,274.779,61,42,Seviyorum Delicesine,01-01-1986,other,"0,66","0,673","0,534","120,0",4:21
Bir Sevgi İstiyorum,Ferdi Özbeğen,274.779,61,44,Piyanist,01-01-1986,other,"0,667","0,612","0,461","116,0",3:34
Bir İlkbahar Sabahı,Ferdi Özbeğen,274.779,61,37,Sevdiğiniz Şarkılar (Orijinal Plak Kayıtları),01-01-1986,other,"0,652","0,61","0,518","121,0",4:57
Haykıracak Nefesim Kalmasa Bile,Ferdi Özbeğen,274.779,61,38,Nerelerdeydiniz?,30-01-2013,other,"0,666","0,633","0,481","119,0",3:21
Akşam Olur Gizli Gizli,Ferdi Özbeğen,274.779,61,32,Bir Sır Gibi,01-01-1986,other,"0,65","0,698","0,538","119,0",3:33
Kaç Yıl Geçti Aradan,Ferdi Özbeğen,274.779,61,30,Teşekkürler,17-05-1979,other,"0,597","0,61","0,474","126,0",3:34
Rüyalarda Buluşuruz,Ferdi Özbeğen,274.779,61,32,Yaktı Geçti,08-12-1989,other,"0,628","0,622","0,47","121,0",4:57
Bir Fırtına Tuttu Bizi,Eylem Aktaş,81.623,51,42,Özlem,12-04-2018,other,"0,611","0,675","0,566","117,0",3:48
Ayrılık Kolyesi,Ferdi Özbeğen,274.779,61,23,Teşekkürler,17-05-1979,other,"0,601","0,637","0,464","117,0",4:33
İşte Bu Bizim Hikayemiz,Ferdi Özbeğen,274.779,61,36,Nice Yıllara,01-01-1980,other,"0,639","0,716","0,534","115,0",5:25
Seni Bana Yazmışlar,Oya & Bora,23.708,40,35,Seni Bana Yazmışlar,04-11-1992,other,"0,654","0,646","0,461","118,0",3:24
Yarası Saklım,Sezen Aksu,13.986.198,74,27,Düş Bahçeleri,14-07-1996,pop-rock,"0,576","0,812","0,561","131,0",5:03
Kan Çiçekleri,Zülfü Livaneli,555.492,48,0,Gökyüzü Herkesindir,01-01-2008,other,"0,669","0,604","0,499","121,0",4:17
Beni Hatırla,Ceylan Ertem,611.595,47,42,Duyuyor Musun?,05-08-2022,other,"0,645","0,635","0,505","127,0",5:07
Aşkın Kederi,Manuş Baba,1.007.512,57,47,Dönersen Islık Çal,27-04-2017,other,"0,584","0,602","0,55","130,0",3:49
Benzemez Kimse Sana,Müzeyyen Senar,287.278,47,2,Saklı Kayıtlar (1934 - 1996),22-01-2010,other,"0,583","0,715","0,495","124,0",2:37
Okul Yolunda,Ümit Besen,731.704,53,38,Nostalji,05-06-1998,other,"0,634","0,682","0,481","127,0",4:03
Elbet Bir Gün Buluşacağız,Müzeyyen Senar,287.278,47,39,Son Aşkımı Canlandıran,01-01-1987,other,"0,572","0,609","0,558","121,0",5:52
Sevmeyeceğim,Yıldız Tilbe,3.793.187,68,45,Haberi Olsun (New version),02-05-2002,arabesk,"0,543","0,707","0,42","102,0",4:07
Taht Kurmuşsun Kalbime,Esengül,21.006,30,41,Beterin Beteri Var / Taht Kurmuşsun Kalbime,16-07-2005,other,"0,574","0,665","0,47","123,0",3:47
Gamzedeyim Deva Bulmam,Müzeyyen Senar,287.278,47,43,"Yayınlanmamış Şarkılar, Vol. 2",16-04-2012,other,"0,652","0,655","0,454","125,0",3:17
Herşey Seni Hatırlatıyor,Muazzez Abacı,101.329,41,43,Efendim,03-06-1992,other,"0,587","0,63","0,472","118,0",5:45
Bak Yeşil Yeşil,Emel Sayın,228.262,46,43,Türk Film Müzikleri,01-01-2006,other,"0,658","0,605","0,524","118,0",4:02
